Drug Usage Group, Statements,Education Level,Year,Percentage of people agreeing
All students,"I can always manage to solve difficult problems if I try hard enough.",Overall,2020/21,80.3
All students,"Most of the time, I am satisfied with myself.",Overall,2020/21,63.3
All students,"I handle arguments calmly.",Overall,2020/21,68.4
All students,"Sometimes I think I am no good at all.",Overall,2020/21,54.5
All students,"I am confident that I can deal efficiently with unexpected events.",Overall,2020/21,59.5
All students,"I give up very easily when I am challenged.",Overall,2020/21,32.5
Drug-taking students,"Most of the time, I am satisfied with myself.",Overall,2020/21,57.9
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Overall,2020/21,73.5
Drug-taking students,"Sometimes I think I am no good at all.",Overall,2020/21,51.4
Drug-taking students,"I handle arguments calmly.",Overall,2020/21,61.5
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Overall,2020/21,61.1
Drug-taking students,"I give up very easily when I am challenged.",Overall,2020/21,33.9
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Overall,2020/21,80.4
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Overall,2020/21,63.4
Non-drug-taking students,"I handle arguments calmly.",Overall,2020/21,68.6
Non-drug-taking students,"Sometimes I think I am no good at all.",Overall,2020/21,54.5
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Overall,2020/21,59.5
Non-drug-taking students,"I give up very easily when I am challenged.",Overall,2020/21,32.5
All students,"I can always manage to solve difficult problems if I try hard enough.",Overall,2023/24,63.9
All students,"Most of the time, I am satisfied with myself.",Overall,2023/24,59.6
All students,"I handle arguments calmly.",Overall,2023/24,46.9
All students,"Sometimes I think I am no good at all.",Overall,2023/24,42
All students,"I am confident that I can deal efficiently with unexpected events.",Overall,2023/24,41.4
All students,"I give up very easily when I am challenged.",Overall,2023/24,26
Drug-taking students,"Most of the time, I am satisfied with myself.",Overall,2023/24,56.1
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Overall,2023/24,53.5
Drug-taking students,"Sometimes I think I am no good at all.",Overall,2023/24,47.5
Drug-taking students,"I handle arguments calmly.",Overall,2023/24,41.1
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Overall,2023/24,38.6
Drug-taking students,"I give up very easily when I am challenged.",Overall,2023/24,30.4
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Overall,2023/24,64.2
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Overall,2023/24,59.7
Non-drug-taking students,"I handle arguments calmly.",Overall,2023/24,47.1
Non-drug-taking students,"Sometimes I think I am no good at all.",Overall,2023/24,41.8
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Overall,2023/24,41.5
Non-drug-taking students,"I give up very easily when I am challenged.",Overall,2023/24,25.9
All students,"I can always manage to solve difficult problems if I try hard enough.",Upper Primary,2020/21,80.5
All students,"Most of the time, I am satisfied with myself.",Upper Primary,2020/21,63.3
All students,"I handle arguments calmly.",Upper Primary,2020/21,65.8
All students,"Sometimes I think I am no good at all.",Upper Primary,2020/21,43.6
All students,"I am confident that I can deal efficiently with unexpected events.",Upper Primary,2020/21,57.9
All students,"I give up very easily when I am challenged.",Upper Primary,2020/21,24.8
Drug-taking students,"Most of the time, I am satisfied with myself.",Upper Primary,2020/21,54.3
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Upper Primary,2020/21,61.1
Drug-taking students,"Sometimes I think I am no good at all.",Upper Primary,2020/21,45
Drug-taking students,"I handle arguments calmly.",Upper Primary,2020/21,54.4
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Upper Primary,2020/21,43.3
Drug-taking students,"I give up very easily when I am challenged.",Upper Primary,2020/21,33.6
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Upper Primary,2020/21,80.8
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Upper Primary,2020/21,63.4
Non-drug-taking students,"I handle arguments calmly.",Upper Primary,2020/21,66
Non-drug-taking students,"Sometimes I think I am no good at all.",Upper Primary,2020/21,43.6
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Upper Primary,2020/21,58.2
Non-drug-taking students,"I give up very easily when I am challenged.",Upper Primary,2020/21,24.6
All students,"I can always manage to solve difficult problems if I try hard enough.",Upper Primary,2023/24,78.7
All students,"Most of the time, I am satisfied with myself.",Upper Primary,2023/24,65.7
All students,"I handle arguments calmly.",Upper Primary,2023/24,62.2
All students,"Sometimes I think I am no good at all.",Upper Primary,2023/24,45
All students,"I am confident that I can deal efficiently with unexpected events.",Upper Primary,2023/24,57.6
