Drug Usage Group, Proportion agreeing with the following statements,Education Level,Year,Percentage
All students,“My parents care about my feelings.”,Overall,2020/21,74.6
All students,“My friends cannot do anything that breaks the law.” ,Overall,2020/21,72.8
All students,“I always have my own idea among my group of friends.”,Overall,2020/21,70.4
All students,“I can be influenced by my friends easily.” ,Overall,2020/21,44.8
All students,“I feel I am well-liked in school.”,Overall,2020/21,36.6
All students,“I often break school rules.”,Overall,2020/21,12.2
Drug-taking students,“My parents care about my feelings.”,Overall,2020/21,64.2
Drug-taking students,“I always have my own idea among my group of friends.”,Overall,2020/21,69.8
Drug-taking students,“I can be influenced by my friends easily.” ,Overall,2020/21,41.5
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Overall,2020/21,40.5
Drug-taking students,“I often break school rules.”,Overall,2020/21,32.7
Drug-taking students,“I feel I am well-liked in school.”,Overall,2020/21,46.3
Non-drug-taking students,“My parents care about my feelings.”,Overall,2020/21,74.8
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Overall,2020/21,73.5
Non-drug-taking students,“I always have my own idea among my group of friends.”,Overall,2020/21,70.4
Non-drug-taking students,“I can be influenced by my friends easily.” ,Overall,2020/21,44.9
Non-drug-taking students,“I feel I am well-liked in school.”,Overall,2020/21,36.4
Non-drug-taking students,“I often break school rules.”,Overall,2020/21,11.7
All students,“My parents care about my feelings.”,Overall,2023/24,63.6
All students,“My friends cannot do anything that breaks the law.” ,Overall,2023/24,54.6
All students,“I always have my own idea among my group of friends.”,Overall,2023/24,51.7
All students,“I can be influenced by my friends easily.” ,Overall,2023/24,41
All students,“I feel I am well-liked in school.”,Overall,2023/24,29.2
All students,“I often break school rules.”,Overall,2023/24,13.5
Drug-taking students,“My parents care about my feelings.”,Overall,2023/24,65
Drug-taking students,“I always have my own idea among my group of friends.”,Overall,2023/24,47.7
Drug-taking students,“I can be influenced by my friends easily.” ,Overall,2023/24,42.6
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Overall,2023/24,39.8
Drug-taking students,“I often break school rules.”,Overall,2023/24,37.1
Drug-taking students,“I feel I am well-liked in school.”,Overall,2023/24,34.8
Non-drug-taking students,“My parents care about my feelings.”,Overall,2023/24,63.6
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Overall,2023/24,55
Non-drug-taking students,“I always have my own idea among my group of friends.”,Overall,2023/24,51.8
Non-drug-taking students,“I can be influenced by my friends easily.” ,Overall,2023/24,40.9
Non-drug-taking students,“I feel I am well-liked in school.”,Overall,2023/24,29.1
Non-drug-taking students,“I often break school rules.”,Overall,2023/24,12.9
All students,“My parents care about my feelings.”,Upper Primary,2020/21,77.3
All students,“My friends cannot do anything that breaks the law.” ,Upper Primary,2020/21,83.7
All students,“I always have my own idea among my group of friends.”,Upper Primary,2020/21,65
All students,“I can be influenced by my friends easily.” ,Upper Primary,2020/21,31.2
All students,“I feel I am well-liked in school.”,Upper Primary,2020/21,34.7
All students,“I often break school rules.”,Upper Primary,2020/21,7.9
Drug-taking students,“My parents care about my feelings.”,Upper Primary,2020/21,62.5
Drug-taking students,“I always have my own idea among my group of friends.”,Upper Primary,2020/21,57.5
Drug-taking students,“I can be influenced by my friends easily.” ,Upper Primary,2020/21,30.7
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Upper Primary,2020/21,58.5
Drug-taking students,“I often break school rules.”,Upper Primary,2020/21,25.6
Drug-taking students,“I feel I am well-liked in school.”,Upper Primary,2020/21,38.6
Non-drug-taking students,“My parents care about my feelings.”,Upper Primary,2020/21,77.5
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Upper Primary,2020/21,84
Non-drug-taking students,“I always have my own idea among my group of friends.”,Upper Primary,2020/21,65.1
Non-drug-taking students,“I can be influenced by my friends easily.” ,Upper Primary,2020/21,31.2
Non-drug-taking students,“I feel I am well-liked in school.”,Upper Primary,2020/21,34.7
Non-drug-taking students,“I often break school rules.”,Upper Primary,2020/21,7.6
All students,“My parents care about my feelings.”,Upper Primary,2023/24,79.3
All students,“My friends cannot do anything that breaks the law.” ,Upper Primary,2023/24,81.8
All students,“I always have my own idea among my group of friends.”,Upper Primary,2023/24,70.2
All students,“I can be influenced by my friends easily.” ,Upper Primary,2023/24,36.5
All students,“I feel I am well-liked in school.”,Upper Primary,2023/24,43.1
All students,“I often break school rules.”,Upper Primary,2023/24,8.8
Drug-taking students,“My parents care about my feelings.”,Upper Primary,2023/24,64.9
Drug-taking students,“I always have my own idea among my group of friends.”,Upper Primary,2023/24,58.6
Drug-taking students,“I can be influenced by my friends easily.” ,Upper Primary,2023/24,35.1
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Upper Primary,2023/24,47.6
Drug-taking students,“I often break school rules.”,Upper Primary,2023/24,22.6
Drug-taking students,“I feel I am well-liked in school.”,Upper Primary,2023/24,46.1
Non-drug-taking students,“My parents care about my feelings.”,Upper Primary,2023/24,79.4
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Upper Primary,2023/24,82.2
Non-drug-taking students,“I always have my own idea among my group of friends.”,Upper Primary,2023/24,70.3
Non-drug-taking students,“I can be influenced by my friends easily.” ,Upper Primary,2023/24,36.5
Non-drug-taking students,“I feel I am well-liked in school.”,Upper Primary,2023/24,43.1
Non-drug-taking students,“I often break school rules.”,Upper Primary,2023/24,8.6
All students,“My parents care about my feelings.”,Secondary,2020/21,73.4
All students,“My friends cannot do anything that breaks the law.” ,Secondary,2020/21,70.9
All students,“I always have my own idea among my group of friends.”,Secondary,2020/21,71.5
All students,“I can be influenced by my friends easily.” ,Secondary,2020/21,51.1
All students,“I feel I am well-liked in school.”,Secondary,2020/21,36.7
All students,“I often break school rules.”,Secondary,2020/21,14.8
Drug-taking students,“My parents care about my feelings.”,Secondary,2020/21,63.4
Drug-taking students,“I always have my own idea among my group of friends.”,Secondary,2020/21,67.9
Drug-taking students,“I can be influenced by my friends easily.” ,Secondary,2020/21,44.7
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Secondary,2020/21,46.1
Drug-taking students,“I often break school rules.”,Secondary,2020/21,35.4
Drug-taking students,“I feel I am well-liked in school.”,Secondary,2020/21,45.9
Non-drug-taking students,“My parents care about my feelings.”,Secondary,2020/21,73.6
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Secondary,2020/21,71.5
Non-drug-taking students,“I always have my own idea among my group of friends.”,Secondary,2020/21,71.6
Non-drug-taking students,“I can be influenced by my friends easily.” ,Secondary,2020/21,51.3
Non-drug-taking students,“I feel I am well-liked in school.”,Secondary,2020/21,36.5
Non-drug-taking students,“I often break school rules.”,Secondary,2020/21,14.3
All students,“My parents care about my feelings.”,Secondary,2023/24,74.8
All students,“My friends cannot do anything that breaks the law.” ,Secondary,2023/24,74.6
All students,“I always have my own idea among my group of friends.”,Secondary,2023/24,73
All students,“I can be influenced by my friends easily.” ,Secondary,2023/24,51.1
All students,“I feel I am well-liked in school.”,Secondary,2023/24,39.5
All students,“I often break school rules.”,Secondary,2023/24,18.3
Drug-taking students,“My parents care about my feelings.”,Secondary,2023/24,68.1
Drug-taking students,“I always have my own idea among my group of friends.”,Secondary,2023/24,69.1
Drug-taking students,“I can be influenced by my friends easily.” ,Secondary,2023/24,45.4
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Secondary,2023/24,54.3
Drug-taking students,“I often break school rules.”,Secondary,2023/24,39
Drug-taking students,“I feel I am well-liked in school.”,Secondary,2023/24,46.9
Non-drug-taking students,“My parents care about my feelings.”,Secondary,2023/24,75
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Secondary,2023/24,75.2
Non-drug-taking students,“I always have my own idea among my group of friends.”,Secondary,2023/24,73.1
Non-drug-taking students,“I can be influenced by my friends easily.” ,Secondary,2023/24,51.3
Non-drug-taking students,“I feel I am well-liked in school.”,Secondary,2023/24,39.3
Non-drug-taking students,“I often break school rules.”,Secondary,2023/24,17.7
All students,“My parents care about my feelings.”,Post-secondary,2020/21,74.2
All students,“My friends cannot do anything that breaks the law.” ,Post-secondary,2020/21,65.5
All students,“I always have my own idea among my group of friends.”,Post-secondary,2020/21,73.8
All students,“I can be influenced by my friends easily.” ,Post-secondary,2020/21,46.9
All students,“I feel I am well-liked in school.”,Post-secondary,2020/21,38.2
All students,“I often break school rules.”,Post-secondary,2020/21,11.6
Drug-taking students,“My parents care about my feelings.”,Post-secondary,2020/21,66.4
Drug-taking students,“I always have my own idea among my group of friends.”,Post-secondary,2020/21,79.8
Drug-taking students,“I can be influenced by my friends easily.” ,Post-secondary,2020/21,42.3
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Post-secondary,2020/21,21.4
Drug-taking students,“I often break school rules.”,Post-secondary,2020/21,32.3
Drug-taking students,“I feel I am well-liked in school.”,Post-secondary,2020/21,51.1
Non-drug-taking students,“My parents care about my feelings.”,Post-secondary,2020/21,74.4
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Post-secondary,2020/21,66.7
Non-drug-taking students,“I always have my own idea among my group of friends.”,Post-secondary,2020/21,73.6
Non-drug-taking students,“I can be influenced by my friends easily.” ,Post-secondary,2020/21,47.1
Non-drug-taking students,“I feel I am well-liked in school.”,Post-secondary,2020/21,37.8
Non-drug-taking students,“I often break school rules.”,Post-secondary,2020/21,11.1
All students,“My parents care about my feelings.”,Post-secondary,2023/24,32.6
All students,“My friends cannot do anything that breaks the law.” ,Post-secondary,2023/24,1.6
All students,“I always have my own idea among my group of friends.”,Post-secondary,2023/24,1.7
All students,“I can be influenced by my friends easily.” ,Post-secondary,2023/24,27.7
All students,“I feel I am well-liked in school.”,Post-secondary,2023/24,1.7
All students,“I often break school rules.”,Post-secondary,2023/24,9.3
Drug-taking students,“My parents care about my feelings.”,Post-secondary,2023/24,60.6
Drug-taking students,“I always have my own idea among my group of friends.”,Post-secondary,2023/24,13.6
Drug-taking students,“I can be influenced by my friends easily.” ,Post-secondary,2023/24,41
Drug-taking students,“My friends cannot do anything that breaks the law.” ,Post-secondary,2023/24,16.8
Drug-taking students,“I often break school rules.”,Post-secondary,2023/24,38.9
Drug-taking students,“I feel I am well-liked in school.”,Post-secondary,2023/24,14
Non-drug-taking students,“My parents care about my feelings.”,Post-secondary,2023/24,31.6
Non-drug-taking students,“My friends cannot do anything that breaks the law.” ,Post-secondary,2023/24,1.1
Non-drug-taking students,“I always have my own idea among my group of friends.”,Post-secondary,2023/24,1.3
Non-drug-taking students,“I can be influenced by my friends easily.” ,Post-secondary,2023/24,27.3
Non-drug-taking students,“I feel I am well-liked in school.”,Post-secondary,2023/24,1.3
Non-drug-taking students,“I often break school rules.”,Post-secondary,2023/24,8.3
