Drug Usage Group, Whether had the habit of surfing the Internet / Things to do when surfing the Internet,Education Level,Year,Percentage
All students,No,Overall,2020/21,1.6
All students,Yes, things to do when surfing the Internet were…,Overall,2020/21,98.4
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Overall,2020/21,88.5
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Overall,2020/21,67.7
All students,Play online games,Overall,2020/21,61.6
All students,Do homework on the Internet,Overall,2020/21,52.7
All students,Find information (e.g. through Wikipedia / map search / route search),Overall,2020/21,38.1
All students,Browse websites (e.g. read newspaper articles / comics),Overall,2020/21,33.2
All students,Download photos / songs, etc.,Overall,2020/21,28.7
All students,Go to discussion forums / chat rooms / message boards, etc.,Overall,2020/21,19.5
All students,Make friends online,Overall,2020/21,12.6
All students,Others,Overall,2020/21,1.5
Drug-taking students,No,Overall,2020/21,2.7
Drug-taking students,Yes, things to do when surfing the Internet were…,Overall,2020/21,97.3
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Overall,2020/21,82
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Overall,2020/21,61.4
Drug-taking students,Play online games,Overall,2020/21,52.8
Drug-taking students,Do homework on the Internet,Overall,2020/21,43.7
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Overall,2020/21,32.9
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Overall,2020/21,30.4
Drug-taking students,Download photos / songs, etc.,Overall,2020/21,25.4
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Overall,2020/21,26.1
Drug-taking students,Make friends online,Overall,2020/21,21.3
Drug-taking students,Others,Overall,2020/21,4
Non-drug-taking students,No,Overall,2020/21,1.5
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Overall,2020/21,98.5
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Overall,2020/21,88.7
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Overall,2020/21,67.8
Non-drug-taking students,Play online games,Overall,2020/21,61.9
Non-drug-taking students,Do homework on the Internet,Overall,2020/21,52.9
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Overall,2020/21,38.3
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Overall,2020/21,33.3
Non-drug-taking students,Download photos / songs, etc.,Overall,2020/21,28.8
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Overall,2020/21,19.3
Non-drug-taking students,Make friends online,Overall,2020/21,12.4
Non-drug-taking students,Others,Overall,2020/21,1.5
All students,No,Overall,2023/24,1.7
All students,Yes, things to do when surfing the Internet were…,Overall,2023/24,98.3
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Overall,2023/24,82.7
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Overall,2023/24,64.7
All students,Play online games,Overall,2023/24,62.9
All students,Do homework on the Internet,Overall,2023/24,44.9
All students,Find information (e.g. through Wikipedia / map search / route search),Overall,2023/24,37.4
All students,Browse websites (e.g. read newspaper articles / comics),Overall,2023/24,30.9
All students,Download photos / songs, etc.,Overall,2023/24,27
All students,Go to discussion forums / chat rooms / message boards, etc.,Overall,2023/24,17.7
All students,Make friends online,Overall,2023/24,12.6
All students,Others,Overall,2023/24,1.4
Drug-taking students,No,Overall,2023/24,2.6
Drug-taking students,Yes, things to do when surfing the Internet were…,Overall,2023/24,97.4
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Overall,2023/24,74.8
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Overall,2023/24,58.3
Drug-taking students,Play online games,Overall,2023/24,53
Drug-taking students,Do homework on the Internet,Overall,2023/24,36.9
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Overall,2023/24,29.6
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Overall,2023/24,27.1
Drug-taking students,Download photos / songs, etc.,Overall,2023/24,25.3
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Overall,2023/24,20.5
Drug-taking students,Make friends online,Overall,2023/24,18.8
Drug-taking students,Others,Overall,2023/24,5.3
Non-drug-taking students,No,Overall,2023/24,1.7
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Overall,2023/24,98.3
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Overall,2023/24,82.9
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Overall,2023/24,64.9
Non-drug-taking students,Play online games,Overall,2023/24,63.1
Non-drug-taking students,Do homework on the Internet,Overall,2023/24,45.1
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Overall,2023/24,37.6
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Overall,2023/24,31
Non-drug-taking students,Download photos / songs, etc.,Overall,2023/24,27.1
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Overall,2023/24,17.6
Non-drug-taking students,Make friends online,Overall,2023/24,12.4
Non-drug-taking students,Others,Overall,2023/24,1.3
All students,No,Upper Primary,2020/21,2.4
All students,Yes, things to do when surfing the Internet were…,Upper Primary,2020/21,97.6
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2020/21,86.5
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2020/21,54.6
All students,Play online games,Upper Primary,2020/21,67.7
All students,Do homework on the Internet,Upper Primary,2020/21,49.6
All students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2020/21,25.8
All students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2020/21,17.1
All students,Download photos / songs, etc.,Upper Primary,2020/21,24
All students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2020/21,9.8
All students,Make friends online,Upper Primary,2020/21,12.3
All students,Others,Upper Primary,2020/21,2.7
Drug-taking students,No,Upper Primary,2020/21,2.7
Drug-taking students,Yes, things to do when surfing the Internet were…,Upper Primary,2020/21,97.3
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2020/21,71.8
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2020/21,36.1
Drug-taking students,Play online games,Upper Primary,2020/21,59.4
Drug-taking students,Do homework on the Internet,Upper Primary,2020/21,35.6
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2020/21,12.5
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2020/21,11
Drug-taking students,Download photos / songs, etc.,Upper Primary,2020/21,18.2
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2020/21,10.3
Drug-taking students,Make friends online,Upper Primary,2020/21,19.8
Drug-taking students,Others,Upper Primary,2020/21,5.9
Non-drug-taking students,No,Upper Primary,2020/21,2.4
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Upper Primary,2020/21,97.6
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2020/21,86.7
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2020/21,54.9
Non-drug-taking students,Play online games,Upper Primary,2020/21,67.9
Non-drug-taking students,Do homework on the Internet,Upper Primary,2020/21,49.8
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2020/21,25.9
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2020/21,17.2
Non-drug-taking students,Download photos / songs, etc.,Upper Primary,2020/21,24
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2020/21,9.8
Non-drug-taking students,Make friends online,Upper Primary,2020/21,12.2
Non-drug-taking students,Others,Upper Primary,2020/21,2.7
All students,No,Upper Primary,2023/24,2
All students,Yes, things to do when surfing the Internet were…,Upper Primary,2023/24,98
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2023/24,83.1
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2023/24,55
All students,Play online games,Upper Primary,2023/24,69.7
All students,Do homework on the Internet,Upper Primary,2023/24,47.4
All students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2023/24,25.4
All students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2023/24,15.6
All students,Download photos / songs, etc.,Upper Primary,2023/24,24.3
All students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2023/24,8.6
All students,Make friends online,Upper Primary,2023/24,11.7
All students,Others,Upper Primary,2023/24,2
Drug-taking students,No,Upper Primary,2023/24,3.3
Drug-taking students,Yes, things to do when surfing the Internet were…,Upper Primary,2023/24,96.7
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2023/24,68.6
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2023/24,32.3
Drug-taking students,Play online games,Upper Primary,2023/24,55.1
Drug-taking students,Do homework on the Internet,Upper Primary,2023/24,32.1
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2023/24,12.8
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2023/24,10.4
Drug-taking students,Download photos / songs, etc.,Upper Primary,2023/24,25.7
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2023/24,8.9
Drug-taking students,Make friends online,Upper Primary,2023/24,14.8
Drug-taking students,Others,Upper Primary,2023/24,7.4
Non-drug-taking students,No,Upper Primary,2023/24,2
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Upper Primary,2023/24,98
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2023/24,83.3
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2023/24,55.3
Non-drug-taking students,Play online games,Upper Primary,2023/24,70
Non-drug-taking students,Do homework on the Internet,Upper Primary,2023/24,47.6
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2023/24,25.5
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2023/24,15.7
Non-drug-taking students,Download photos / songs, etc.,Upper Primary,2023/24,24.3
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2023/24,8.6
Non-drug-taking students,Make friends online,Upper Primary,2023/24,11.6
Non-drug-taking students,Others,Upper Primary,2023/24,1.9
All students,No,Secondary,2020/21,1.4
All students,Yes, things to do when surfing the Internet were…,Secondary,2020/21,98.6
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2020/21,89.2
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2020/21,72.5
All students,Play online games,Secondary,2020/21,65.2
All students,Do homework on the Internet,Secondary,2020/21,48.1
