Group,Education Level,Year,Domain,Indicator,Value
All students,Overall,2020/21,Internet Habits,No,1.6
All students,Overall,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",98.4
All students,Overall,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,88.5
All students,Overall,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),67.7
All students,Overall,2020/21,Internet Habits,Play online games,61.6
All students,Overall,2020/21,Internet Habits,Do homework on the Internet,52.7
All students,Overall,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),38.1
All students,Overall,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),33.2
All students,Overall,2020/21,Internet Habits,"Download photos / songs,etc.",28.7
All students,Overall,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",19.5
All students,Overall,2020/21,Internet Habits,Make friends online,12.6
All students,Overall,2020/21,Internet Habits,Others,1.5
Drug-taking students,Overall,2020/21,Internet Habits,No,2.7
Drug-taking students,Overall,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",97.3
Drug-taking students,Overall,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,82
Drug-taking students,Overall,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),61.4
Drug-taking students,Overall,2020/21,Internet Habits,Play online games,52.8
Drug-taking students,Overall,2020/21,Internet Habits,Do homework on the Internet,43.7
Drug-taking students,Overall,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),32.9
Drug-taking students,Overall,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),30.4
Drug-taking students,Overall,2020/21,Internet Habits,"Download photos / songs,etc.",25.4
Drug-taking students,Overall,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",26.1
Drug-taking students,Overall,2020/21,Internet Habits,Make friends online,21.3
Drug-taking students,Overall,2020/21,Internet Habits,Others,4
Non-drug-taking students,Overall,2020/21,Internet Habits,No,1.5
Non-drug-taking students,Overall,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",98.5
Non-drug-taking students,Overall,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,88.7
Non-drug-taking students,Overall,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),67.8
Non-drug-taking students,Overall,2020/21,Internet Habits,Play online games,61.9
Non-drug-taking students,Overall,2020/21,Internet Habits,Do homework on the Internet,52.9
Non-drug-taking students,Overall,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),38.3
Non-drug-taking students,Overall,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),33.3
Non-drug-taking students,Overall,2020/21,Internet Habits,"Download photos / songs,etc.",28.8
Non-drug-taking students,Overall,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",19.3
Non-drug-taking students,Overall,2020/21,Internet Habits,Make friends online,12.4
Non-drug-taking students,Overall,2020/21,Internet Habits,Others,1.5
All students,Overall,2023/24,Internet Habits,No,1.7
All students,Overall,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98.3
All students,Overall,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,82.7
All students,Overall,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),64.7
All students,Overall,2023/24,Internet Habits,Play online games,62.9
All students,Overall,2023/24,Internet Habits,Do homework on the Internet,44.9
All students,Overall,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),37.4
All students,Overall,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),30.9
All students,Overall,2023/24,Internet Habits,"Download photos / songs,etc.",27
All students,Overall,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",17.7
